Client,Style,Fabric usage,pcs/carton,volume,weight,material
QPS,QPSTF,2.5,10,0.189,12,"54.1% Polyester / 44% Wool / 1.4% Lycra / 5% Antistatic Fibre Plain Weave Weft Stretch Anti Static 30s/2x30s/2, 43x40, 240gsm, 150cm"
QPS,PS63,,8,0.07581,9,Polyester soft shell with micro polar fleece inner and bonded with PTFE membrane
QPS,QPSDDJ,,9,0.07581,9,Polyester soft shell with micro polar fleece inner and bonded with PTFE membrane
QFES,SESDDJ,,10,0.07581,9,Polyester soft shell with micro polar fleece inner and bonded with PTFE membrane
QFES,RFSDDJ,,11,0.07581,9,Polyester soft shell with micro polar fleece inner and bonded with PTFE membrane
QFES,SESPL-SS,,30,0.05415,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
QFES,QFESDTM,1.6,20,0.05415,12,"54.1% Polyester / 44% Wool / 1.4% Lycra / 5% Antistatic Fibre Plain Weave Weft Stretch Anti Static 30s/2x30s/2, 43x40, 240gsm, 150cm"
QFES,QFESDSF,1.6,20,0.05415,12,"54.1% Polyester / 44% Wool / 1.4% Lycra / 5% Antistatic Fibre Plain Weave Weft Stretch Anti Static 30s/2x30s/2, 43x40, 240gsm, 150cm"
QFES,RFSPL-SS,,30,0.05415,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
QFES,SESOU,4,8,0.03774,12,"100% Cotton ripstop, 20x16 / 100x56, 200gsm"
QFES,SESTPF,2.29,12,0.05415,9,"100% Cotton ripstop, 20x16 / 100x56, 200gsm"
QFES,SESTPM,2.29,12,0.05415,13,"100% Cotton ripstop, 20x16 / 100x56, 200gsm"
QFES,SESSPF,2.04,20,0.05415,12,"100% Cotton ripstop, 50/2x5//2  / 98x66, 145gsm"
QFES,SESSPM,2.04,30,0.05415,13,"100% Cotton ripstop, 50/2x5//2  / 98x66, 145gsm"
QFES,RFSPF,,10,0.06,13,"100% Polyester 395gsm polar fleece laminated with water repellent finishing, T/C Woven fabric patch"
QFES,RFSTM,2.5,10,0.189,13,"54.1% Polyester / 44% Wool / 1.4% Lycra / 5% Antistatic Fibre Plain Weave Weft Stretch Anti Static 30s/2x30s/2, 43x40, 240gsm, 150cm"
QFES,SESPF,,10,0.06,13,"100% Polyester 395gsm polar fleece laminated with water repellent finishing, T/C Woven fabric patch"
QFES,SESTM,2.5,10,0.189,13,"54.1% Polyester / 44% Wool / 1.4% Lycra / 5% Antistatic Fibre Plain Weave Weft Stretch Anti Static 30s/2x30s/2, 43x40, 240gsm, 150cm"
QFES,QFESPF,,10,0.06,13,"100% Polyester 395gsm polar fleece laminated with water repellent finishing, T/C Woven fabric patch"
QFES,QFESTM,2.5,10,0.189,13,"54.1% Polyester / 44% Wool / 1.4% Lycra / 5% Antistatic Fibre Plain Weave Weft Stretch Anti Static 30s/2x30s/2, 43x40, 240gsm, 150cm"
QFES,QFES badge,,1000,0.03328,6.8,other
QFES,RFS badge,,1000,0.03328,6.8,other
QFES,RFS-Vinyl-Badge,,1000,0.03328,6.8,other
ComRec,CRPL-SS,,30,0.05415,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
VC,VC MALE SS,,20,0.05712,10,65% Polyester / 35% Cotton 78x65 / 45/2x32/1 135gsm 
VC,VC MALE LS,,20,0.05712,11.5,65% Polyester / 35% Cotton 78x65 / 45/2x32/1 135gsm 
VC,VC FEMALE SS,,40,0.05712,11.5,65% Polyester / 35% Cotton 78x65 / 45/2x32/1 135gsm 
VP,VPSSMO1,1.6148,20,0.05712,10,"65% Polyester, 33% Cotton, 2% Elastane, 32x32+40D, 130x70, twill weave, 150gsm"
VP,VPLSMO1,1.8956,20,0.05712,10,"65% Polyester, 33% Cotton, 2% Elastane, 32x32+40D, 130x70, twill weave, 150gsm"
VP,VPSSFO1,,20,0.05712,10,"65% Polyester, 33% Cotton, 2% Elastane, 32x32+40D, 130x70, twill weave, 150gsm"
VP,VPLSFO1,,20,0.05712,10,"65% Polyester, 33% Cotton, 2% Elastane, 32x32+40D, 130x70, twill weave, 150gsm"
VP,VP badge,,1000,0.03328,6.8,other
VP,PSO badge,,1000,0.03328,6.8,other
OVERBOOTS,SOX-SAVERS-O,,250,0.06804,13,100% COTTON TWILL 20X20 108X56 190gsm
RITEMATE,RMPC006,,16,0.041125,6,"Cotton chambray, 21x61, 62x48, 135gsm"
RITEMATE,RMPC007,,16,0.041125,6,"Cotton chambray, 21x61, 62x48, 135gsm"
RITEMATE,RMPC008,,16,0.041125,6,"100% Fine Cotton, Y/D Striped, 80/2X50 / 160X82, 130gsm"
RITEMATE,RMPC008S,,16,0.041125,6,"100% Fine Cotton, Y/D Striped, 80/2X50 / 160X82, 130gsm"
RITEMATE,RMPC009,,16,0.041125,6,"100% Fine Cotton, Y/D CHECKS, 80/2X50 / 160X82, 130gsm"
RITEMATE,RMPC009S,,16,0.041125,6,"100% Fine Cotton, Y/D Striped, 80/2X50 / 160X82, 130gsm"
RITEMATE,RMPC010,,16,0.041125,6,"100% Fine Cotton, Y/D CHECKS, 80/2X50 / 160X82, 130gsm"
RITEMATE,RMPC010S,,16,0.041125,6,"100% Fine Cotton, Y/D Striped, 80/2X50 / 160X82, 130gsm"
RITEMATE,RMPC011,,16,0.041125,6,"100% Fine Cotton, Y/D CHECKS, 80/2X50 / 160X82, 130gsm"
RITEMATE,RMPC011S,,16,0.041125,6,"100% Fine Cotton, Y/D Striped, 80/2X50 / 160X82, 130gsm"
RITEMATE,RMPC012,,16,0.041125,6,"100% Fine Cotton, Y/D Striped, 80/2X50 / 160X82, 130gsm"
RITEMATE,RMPC013,,16,0.041125,6,"100% Fine Cotton, Y/D Striped, 80/2X50 / 160X82, 130gsm"
